Numéro_de_l'objet,Domaine,Dénomination,Appellation,Titre,Auteur,Précisions_sur_l'auteur,Lieu_de_création,Période_de_création,Millésime,Période_de_l'original_copié,Epoque,Utilisation,Période_d'utilisation,Millésime_d'utilisation,Dimensions,Matériaux-techniques,Géographie_historique,Découverte,Sujet,Source_de_la_représentation,Onomastique,Statut_juridique,Date_d'acquisition,Date_de_dépôt,Ancien_dépôt,ID-notice,Lieu_de_conservation,Identifiant_Museofile,Date_d'import,Date_de_mise_à_jour,Label_Musée_de_France,Ecole,Dépôt,ville,geolocalisation_ville
CL 10919,sculpture;ivoirerie,figurine,,MOINE AGENOUILLE,anonyme,,,17e siècle,,,,,,,15 H,ivoire (taillé);jais,,,"figure (moine, agenouillé, homme)",,,propriété de l'Etat ; legs ; Musée de Cluny,1881,1986 affecté,,000SC003075,Ecouen;musée national de la Renaissance,M5012,,1991-03-08,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Espagne,affectation ; Ecouen ; musée national de la Renaissance,Ecouen,"49.018304,2.380684"
LOA 357,sculpture;médiéval,,,PLAQUETTE,anonyme,,,4e quart 14e siècle,,,,,,,8 H ; 5 L,Bas-relief;taille;ivoire,,,"scène (galanterie, bijou, anneau, faucon, feuillu) ; élément d'architecture",,,propriété de l'Etat ; musée du Louvre département des Objets d'art,,1948,,000SC003139,Paris;musée national du moyen âge - thermes de Cluny,M5003,,1991-03-08,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Musée de Cluny,Paris,"48.8589,2.3469"
CL 19277 ; CL 7676,sculpture;médiéval,statue (d'applique),,L'EDUCATION DE LA VIERGE OU ALLEGORIE D'UN ART LIBERAL,anonyme,,,4e quart 14e siècle;1er quart 15e siècle,1400 vers,,,,,,49 H,taille directe;revers plat;marbre,,,"scène biblique (Education de la Vierge, sainte Anne, Vierge, lecture)",Nouveau Testament,,propriété de l'Etat ; donation ; Musée de Cluny,1863,,,000SC001983,Paris;musée national du moyen âge - thermes de Cluny,M5003,,1991-03-06,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Italie ; Toscane (?) ; Lombardie (?),,Paris,"48.8589,2.3469"
Cl. 15383,sculpture,statuette,,LA VIERGE ET L'ENFANT,anonyme,,,1er quart 16e siècle,,,,,,,35.5 H ; 12.5 L ; 8.5 P,taille directe;revers travaillé;chêne;traces de peinture,,,figures bibliques (Vierge à l'Enfant) ; Vierge (en pied) ; Enfant Jésus (assis),,,propriété de l'Etat ; legs ; Musée de Cluny,1903,,,000SC002001,Paris;musée national du moyen âge - thermes de Cluny,M5003,,2007-10-08,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France (?),,Paris,"48.8589,2.3469"
E.Cl. 11403 ; CL 11403,sculpture,tiroir;panneau;relief,,DEVANT DE TIROIR,anonyme,,,16e siècle,,,époque Renaissance,,,,33 L,Bas-relief;taille en réserve;bois,,Espagne (lieu de provenance),représentation animalière (animal fabuleux) ; bouquet,,,propriété de l'Etat ; donation ; Musée de Cluny,1886,1977 affecté,,000SC006119,Ecouen;musée national de la Renaissance,M5012,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Espagne,affectation ; Ecouen ; musée national de la Renaissance,Ecouen,"49.018304,2.380684"
E.Cl. 11638 ; CL 11638,sculpture,panneau;relief,,BUSTE D'HOMME,anonyme,,,16e siècle,,,époque Renaissance,,,,47 H ; 22 L,Demi-relief;taille directe;bois,,France (lieu de provenance),"figure (vieux, de trois-quarts, en buste, en médaillon) ; ornementation (feuillage orn, fleur, vase)",,,propriété de l'Etat ; achat ; Musée de Cluny,1843,1977 affecté,,000SC006131,Ecouen;musée national de la Renaissance,M5012,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,affectation ; Ecouen ; musée national de la Renaissance,Ecouen,"49.018304,2.380684"
E.Cl. 11402,sculpture;mobilier,tiroir;panneau;relief,,Devant de tiroir,anonyme,,France (lieu de création),16e siècle,,,époque Renaissance,,,,Hauteur en cm 10.7 ; Longueur en cm 33,"bois, noyer, bas-relief, taille directe",,France (lieu de provenance),"ornementation (animal fabuleux, cartouche orn, oiseau) ; symbole christique",,,propriété de l'Etat ; donation ; Musée de Cluny,1886,1977 affecté,,000SC006162,Ecouen;musée national de la Renaissance,M5012,2007-06-15,2007-06-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,affectation ; musée national de la Renaissance,Ecouen,"49.018304,2.380684"
E.Cl. 20177 B ; CL 20177 B,sculpture,élément d'ensemble;panneau;relief,,PANNEAU,anonyme,,,16e siècle,,,époque Renaissance,,,,49 H ; 29 L,Bas-relief;taille;bois,,France (lieu de provenance),"ornementation (entrelacs, palmette, cartouche orn, ovale)",,,propriété de l'Etat ; achat ; Musée de Cluny,1843,1977,,000SC006428,Ecouen;musée national de la Renaissance,M5012,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,affecté ; Ecouen ; musée national de la Renaissance,Ecouen,"49.018304,2.380684"
997.2.28,dessin,,,3 Reliefierte Horizontalstruktur,PIPER Gudrun,"Kobe, 1917 ; femme ; Fille de l'écrivain Maria Piper, Gudrun Piper, née en 1917 à Kobe (Japon) où son père travaillait. Elle y vécut pendant 10 ans. Est entrée à 20 ans à l'Académie des arts de Düsseldorf, elle terminera ses études en 1943 aux Beaux-Arts de Berlin. Elle réalise en 1950 sa première composition construite. En 1953, elle épouse le peintre et professeur Max Hermann Mahlmann et travaillera sans relâche les différentes formes géométriques, exposant dans toute toute l'Allemagne mais également en 1958 chez Denise René, en 1960 au musée d'Ixelles de Bruxelles et en 1963 aux côtés de Josef Albers et Joaquim Albrecht à Hambourg. Elle est présente dans différents musées français et européens dont le musée de Cambrai, le musée des Ursulines de Mâcon, la hamburger Kunsthalle, le musée d'art concret d'Ingoldstadt, le musée von-der-Heydt de Stuttgart,... Aujourd'hui encore, le carré la fascine. Sa simplicité n'a d'égale que sa complexité, sa forme s'oppose au hasard. Elle privilégie les couleurs primaires qui respectent sa pureté et déclare : « Celui qui aspire au silence trouve dans l'art concret le chemin qui lui permet de sévader dun monde ahurissant »",,4e quart 20e siècle,1985,,,,,,H. 67 ; l. 67,"collage, papier",,,représentation non figurative,,,propriété de la commune ; donation ; Mâcon ; musée des Ursulines,1997,,,01720002457,Mâcon;musée des Ursulines,M0172,2005-03-31,2017-08-31,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Mâcon,"46.305198,4.830897"
997.2.47.4,estampe,,,Sans Titre,BADUR Frank,"Oranienburg, 1944",,4e quart 20e siècle,1983,,,,,,H. 38.5 ; l. 28.5,sérigraphie,,,représentation non figurative,,,propriété de la commune ; donation ; Mâcon ; musée des Ursulines,1997,,,01720002490,Mâcon;musée des Ursulines,M0172,2005-03-31,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Mâcon,"46.305198,4.830897"
997.2.27.2,peinture,élément d'ensemble,,'TU SAIS...',PERROT Antoine,"Toulon, 1953",,4e quart 20e siècle,1993 entre ; 1994 et,,,,,,H. 36.1 ; l. 6.1,"peinture acrylique, toile, plomb",,,représentation non figurative,,,propriété de la commune ; donation ; Mâcon ; musée des Ursulines,1997,,,01720002607,Mâcon;musée des Ursulines,M0172,2005-03-31,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Mâcon,"46.305198,4.830897"
997.2.98,peinture,tableau,,Angle blanc n°7,THEPOT Roger François,"Landeleau, 1925 ; Paris, 2003",,4e quart 20e siècle,1978,,,,,,H. 104 ; l. 79,"peinture acrylique, toile",,,représentation non figurative,,,propriété de la commune ; donation ; Mâcon ; musée des Ursulines,1997,,,01720002534,Mâcon;musée des Ursulines,M0172,2005-03-31,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Mâcon,"46.305198,4.830897"
4149,peinture,tableau,,PORTRAIT DE FEMME AVEC CHAPEAU A PLUMES,LAWRENCE Sir Thomas (attribué),"?, 1769 ; Londres, 1830",,4e quart 18e siècle;1ère moitié 19e siècle,,,,,,,27 H ; 22 L,peinture à l'huile;toile,,,"portrait d'inconnu (femme, à mi-corps, de face, chapeau)",,,propriété de la commune ; donation ; Marseille ; musée Grobet-Labadie,1919,,,000PE016251,Marseille;musée Grobet-Labadié,M0917,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Angleterre,,Marseille,"43.2804,5.3806"
4137,peinture,tableau,,TETE D'EVEQUE,anonyme,,,17e siècle,,,,,,,65 H ; 49 L,peinture à l'huile;toile,,,"figure (homme, évêque, en buste)",,,propriété de la commune ; donation ; Marseille ; musée Grobet-Labadie,1919,,,000PE016427,Marseille;musée Grobet-Labadié,M0917,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Italie ; Bologne,,Marseille,"43.2804,5.3806"
MV 6929 ; INV 2414 ; MR 1905,peinture,tableau,,HENRI IV ET SULLY A FONTAINEBLEAU,"LE BARBIER Jean Jacques François, LE BARBIER l'Aîné (dit)","Rouen, 1738 ; Paris, 1826",,4e quart 18e siècle,1783,,,,,,"H. 327, L. 240",peinture à l'huile;toile,,,"scène (Henri IV, Sully, conversation, habit, Ordre du Saint-Esprit, parc, château : Fontainebleau, soldat, plan, statue)",,,propriété de l'Etat ; musée national des Châteaux de Versailles et de Trianon,,1912,,000PE013319,Pau;musée des beaux-arts,M0098,,1994-02-24,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Pau ; Musée des Beaux-Arts,Pau,"43.300199,-0.37085"
122,peinture,tableau,,LES NYMPHES DU LAC,MAURY François,"Marseille, 1861 ; Marseille, 1933",,1er quart 20e siècle,1906,,,,,,33 H ; 41 L,peinture à l'huile;toile,,,"scène (divertissement, femme, pré, danse)",,,propriété de la commune ; legs ; Marseille ; musée Cantini,1917,,,000PE013838,Marseille;musée Cantini,M0915,,1990-05-21,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Marseille,"43.2804,5.3806"
VP-80-487,dessin,,,PAYSAGE TUNISIEN,PROUVE Victor,"Nancy, 1858 ; Sétif, 1943",Tunisie (lieu d'exécution),4e quart 19e siècle,1888,,,,,,26.3 H ; 35.7 L,graphite;papier (blanc),,,"paysage (Tunisie, lande, rocher, pin)",,,propriété de la commune ; donation ; Nancy ; musée de l'Ecole de Nancy,1980,,,00000073353,Nancy;musée de l'Ecole de Nancy,M0513,,1995-07-18,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; Nancy,,Nancy,"48.692365,6.182711"
P 1850,peinture,tableau,,TETE DE FEMME,HUGUET Victor Pierre,"Le Lude, 1835 ; Paris, 1902",,2e quart 20e siècle,1930 vers,,,,,,73 H ; 62 L,peinture à l'huile;toile,,,"figure (femme, tête, de trois-quarts)",,,propriété de la commune ; don ; Lille ; musée des Beaux-Arts,1966,,,000PE019688,Lille;musée des beaux-arts,M0629,,1994-02-24,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Lille,"50.631564,3.05644"
P 1100,peinture,tableau,,PAYSAGE,BAUDIT Amédée,"Genève, 1825 ; Bordeaux, 1890",,3e quart 19e siècle,1866,,,,,,25 H ; 36 L,peinture à l'huile;toile,,,"paysage (cours d'eau, feuillu, pêche aux engins, filet, barque, cyprès)",,,propriété de la commune ; mode d'acquisition inconnu ; Lille ; musée des Beaux-Arts,1893 Entrée matérielle avant,,,000PE019779,Lille;musée des beaux-arts,M0629,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Lille,"50.631564,3.05644"
P 1008,peinture,tableau,,REPOS,BETHUNE Gaston,"Paris, 1857 ; Auteuil, 1897",,4e quart 19e siècle,1896,,,,,,132 H ; 200 L,peinture à l'huile;toile,,,"paysage (forêt, feuillu, platane, clairière, femme : repos, chien)",,,propriété de la commune ; don ; Lille ; musée des Beaux-Arts,1896,,,000PE019808,Lille;musée des beaux-arts,M0629,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Lille,"50.631564,3.05644"
P 489,peinture;histoire,tableau,,LE COURAGE DE PORCIA,LEPICIE Nicolas Bernard,"Paris, 1735 ; Paris, 1784",,4e quart 18e siècle,1777,,,,,,323 H ; 259 L,peinture à l'huile;toile,,Paris (lieu de provenance),"scène historique (femme : blessé, serviteur : soin) ; mobilier ; récipient : céramique ; effet de tissu ; pavement",,,propriété de l'Etat ; musée du Louvre département des Peintures ; don ; Lille ; musée des Beaux-Arts,1873,,,000PE019834,Lille;musée des beaux-arts,M0629,,2007-09-10,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,dépôt ; Lille ; musée des Beaux-Arts,Lille,"50.631564,3.05644"
D 78.5.113/5 ; 24719/5 (Inv. M.N.C.S),céramique;vie domestique,"tasse;soucoupe (élément d'ensemble);service à boissons (ensemble, 18, élément)",forme Litron,Service à boissons exotiques de 18 pièces : tasse et sa soucoupe,manufacture des Terres de Bordes (manufacture),,"Aquitaine, Gironde, Bordeaux (lieu d'exécution)",4e quart 18e siècle,1787 entre ; 1790 et,,,vaisselle,,,Diamètre en cm (soucoupe) 13 ; Hauteur en cm (tasse) 6.5,"porcelaine, peint (polychrome), doré",,,"ornementation (flèche orn, fleurette, galon orn)",,,propriété de l'Etat ; dation ; Sèvres ; musée national de la Céramique,1978/02/16 décision dation,1978,,00660000561,Bordeaux;musée des Arts décoratifs,M0066,2002-10-21,2008-11-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; Bordeaux,dépôt ; Bordeaux ; musée des Arts décoratifs,Bordeaux,"44.837663,-0.579717"
D.95.4.4,dessin;ethnologie,,,"La foire, place Royale, en 1832",GALARD Gustave de,"Château de l'Isle : Lot-et-Garonne, 1779 ; Le Bouscat, 1841",Aquitaine ; Gronde : Bordeaux (lieu d'exécution),2e quart 19e siècle,1832,,,,,,H. avec cadre 32.5 ; l. avec cadre 39.5,"aquarelle, gouache",,,"Bordeaux ; scène (foire, foule, costume traditionnel, musicien, attraction foraine)",,,,,,,00640005883,Bordeaux;musée d'Aquitaine,M0064,2003-10-16,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,dépôt ; Bordeaux ; Musée d'Aquitaine,Bordeaux,"44.837663,-0.579717"
P 263,peinture,tableau,,PORTRAIT DE FEMME,HANNEMAN Adriaen,"La Haye, 1604 ; La Haye, 1671",,3e quart 17e siècle,1656,,,,,,82 H ; 65 L,peinture à l'huile;toile,,,"portrait d'inconnu (femme, à mi-corps, de trois-quarts) ; bijou ; fourrure",,,propriété de la commune ; don ; Lille ; musée des Beaux-Arts,1885,,,000PE017091,Lille;musée des beaux-arts,M0629,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Hollande,,Lille,"50.631564,3.05644"
P 292,peinture,tableau,,PORTRAIT D'UN JEUNE GARCON,EECKHOUT Gerbrand Van den,"Amsterdam, 1621 ; Amsterdam, 1674",,3e quart 17e siècle,1653,,,,,,63.2 H ; 55 L,peinture à l'huile;toile,,,"portrait d'inconnu (garçon : à mi-corps, de trois-quarts)",,,propriété de la commune ; legs ; Lille ; musée des Beaux-Arts,1873,,,000PE017129,Lille;musée des beaux-arts,M0629,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Hollande,,Lille,"50.631564,3.05644"
P 970,peinture,tableau,,SACRIFICE DANS LES CATACOMBES,TROYEN Rombout Van,,,2e quart 17e siècle,,,,,,,33.5 H ; 54 L,peinture à l'huile;bois,,,"scène (sacrifice, catacombes : autel, prêtre, statue : divinité, homme, femme, serviteur : Noir, taureau : fleur, bouc) ; danse (femme, tambourin) ; orfèvrerie ; bijou ; colonne (chapiteau)",,,propriété de la commune ; Saisie révolutionnaire ; Lille ; musée des Beaux-Arts,1795 Inscrit sur inventaire,,,000PE017658,Lille;musée des beaux-arts,M0629,,2007-09-11,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Hollande,,Lille,"50.631564,3.05644"
P 236,peinture,tableau,,Intérieur de la Nieuwe Kerk de Delft avec le tombeau de Guillaume le Taciturne,WITTE Emanuel de,"Alkmar, 1618 ; Amsterdam, 1692",,3e quart 17e siècle,1656,,,,,,97 H ; 85 L,peinture à l'huile;toile,,,"vue d'intérieur (église, Delft, tombeau, statue : vertu, bannière, homme, femme, gueux, enfant, chien) ; armoiries",,,propriété de la commune ; achat sur les arrérages d'un legs ; Lille ; musée des Beaux-Arts,1890,,,000PE017737,Lille;musée des beaux-arts,M0629,,2012-11-14,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Hollande,,Lille,"50.631564,3.05644"
1972.400.26,dessin,,,Grand salon blanc près de la chambre de la princesse (titre manuscrit),VIOLLET-LE-DUC Eugène Emmanuel (architecte),"Paris, 1814 ; Lausanne, 1879",,3e quart 19e siècle,1874,,,,,,H. 68.4 ; L. 43.8,"crayon, lavis, carton",,,ornementation ; représentation végétale,,,propriété de la commune ; Eu ; musée Louis Philippe,,,,07140000159,Eu;musée Louis-Philippe,M0714,2002-11-25,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Eu,"50.046806,1.419626"
INV 464 ; F 2840 C ; LP 5832,peinture,tableau,,Source et une autre femme,"ALAUX Jean, LE ROMAIN (dit)","Bordeaux, 1786 ; Paris, 1864",Fontainebleau (lieu de création),2e quart 19e siècle,1844,,,,,,H. 19 ; L. 27,peinture à l'huile;toile,,,"figure (allégorie, source)",,,,,1928 déposé,,50130000630,Fontainebleau;musée national du château de Fontainebleau,M5013,2002-11-26,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,dépôt ; Fontainebleau ; musée national du château,Fontainebleau,"48.408814,2.701368"
INV 482 ; F 2858 C ; LP 5850,peinture,tableau,,Une Nymphe (ou Source),"ALAUX Jean, LE ROMAIN (dit)","Bordeaux, 1786 ; Paris, 1864",Fontainebleau (lieu de création),2e quart 19e siècle,1844,,,,,,H. 19 ; L. 22,peinture à l'huile;toile,,,figure mythologique (nymphe),,,,,1928 déposé,,50130000649,Fontainebleau;musée national du château de Fontainebleau,M5013,2002-11-26,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,dépôt ; Fontainebleau ; musée national du château,Fontainebleau,"48.408814,2.701368"
FPN 3802,peinture,tableau,,"Le salon de M. le comte de Nieuwerkerke, directeur général des musées impériaux, intendant des Beaux-Arts de la Maison de l'Empereur, membre de l'Institut",BIARD François Auguste,"Lyon, 1798 ; Les Plâtreries, 1882",,3e quart 19e siècle,1855,,,,,,H. 168 ; L. 233,peinture à l'huile;toile,,,"scène (intérieur, Paris, musée ; Nieuwerkerke Alfred Emilien comte de, homme, fonctionnaire : les arts, Fould Achille, ministre, Delacroix Eugène, peintre, Mérimée Prosper, homme de lettres, Scribe Eugène, homme de lettres, Auber Daniel François Esprit, homme, musicien : théâtre lyrique, Institut de France)",,,,,1976 avant,,M5009001561,Compiègne;musée national du château de Compiègne,M5009,2002-01-23,2002-04-29,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Compiègne ; musée national du château,Compiègne,"49.413535,2.82091"
IMP 608,peinture,tableau,,Portrait de l'Impératrice Eugénie,VIALLE Jules Jean,"Brive-la-Gaillarde, 1824 ; ?, ?",,3e quart 19e siècle,1865,,,,,,H. 65 ; L. 54,peinture à l'huile;toile,,,"portrait (Eugénie de Montijo, impératrice, femme, en buste, de face)",,,propriété de la commune ; donation ; Compiègne,1951,1951,,M5009001197,Compiègne;musée national du château de Compiègne,M5009,2002-01-23,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Compiègne ; musée national du château de Compiègne,Compiègne,"49.413535,2.82091"
MV 2585 ; INV 5629 ; LP 3980,peinture;histoire,tableau,,PANORAMA DE LA BATAILLE DE LA MOSKOVA.7 SEPTEMBRE 1812,LANGLOIS Jean Charles,"Beaumont-en-Auge, 1789 ; Paris, 1870",,2e quart 19e siècle,,,,,,,75 H ; 700 L,peinture à l'huile;toile,,,scène historique ; bataille (Moskova),,,propriété de l'Etat ; musée national des Châteaux de Versailles et de Trianon ; mode d'acquisition inconnu,,1907,,000PE016837,Paris;musée de l'armée,M5025,,1994-02-24,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Musée de l'Armée,Paris,"48.8589,2.3469"
P 1009,peinture,tableau,,SAINTE MARIE-MADELEINE RENONCANT AUX RICHESSES DE CE MONDE,JANSSENS Abraham I,"Anvers, 1567 ; Anvers, 1632",,1er quart 17e siècle,,,,,,,123.3 H ; 94.1 L,peinture à l'huile;bois,,,"scène biblique (sainte Madeleine, de trois-quarts, crucifix, livre, fleur, bijou) ; fond de paysage (arbre, rivière, pont)",,,propriété de la commune ; achat ; Lille ; musée des Beaux-Arts,1892,,,000PE016858,Lille;musée des beaux-arts,M0629,,2007-04-06,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Flandre,,Lille,"50.631564,3.05644"
